name,monthly_temperature,pig_vaccinated,area,state_total_population,monthly_case_to_pop_ratio,high_risk_state,pop_density
Delhi,22.6,,1483,1524662.2156,4.369471921567476e-05,0,1028.0932
Delhi,29.21,,1483,1524662.2156,4.369471921567476e-05,0,1028.0932
Delhi,32.98,,1483,1524662.2156,4.369471921567476e-05,0,1028.0932
Delhi,33.28,,1483,1524662.2156,4.369471921567476e-05,0,1028.0932
Delhi,30.84,,1483,1524662.2156,4.369471921567476e-05,0,1028.0932
Delhi,29.74,,1483,1524662.2156,4.369471921567476e-05,0,1028.0932
Delhi,28.86,,1483,1524662.2156,4.369471921567476e-05,0,1028.0932
Delhi,25.64,,1483,1524662.2156,4.369471921567476e-05,0,1028.0932
Delhi,19.96,,1483,1524662.2156,4.369471921567476e-05,0,1028.0932
Delhi,14.83,,1483,1524662.2156,3.948191011260981e-05,1,1028.0932
Delhi,13.24,,1483,1543037.1788,4.3694719215674753e-05,0,1040.4836
Delhi,17.03,,1483,1543037.1788,4.3694719215674753e-05,0,1040.4836
Delhi,22.6,,1483,1543037.1788,4.3694719215674753e-05,0,1040.4836
Delhi,29.21,,1483,1543037.1788,4.3694719215674753e-05,0,1040.4836
Delhi,32.98,,1483,1543037.1788,4.3694719215674753e-05,0,1040.4836
Delhi,33.28,,1483,1543037.1788,4.3694719215674753e-05,0,1040.4836
Delhi,30.84,,1483,1543037.1788,4.3694719215674753e-05,0,1040.4836
Delhi,29.74,,1483,1543037.1788,4.3694719215674753e-05,0,1040.4836
Delhi,28.86,,1483,1543037.1788,4.3694719215674753e-05,0,1040.4836
Delhi,25.64,,1483,1543037.1788,4.3694719215674753e-05,0,1040.4836
Delhi,19.96,,1483,1543037.1788,4.3694719215674753e-05,0,1040.4836
Delhi,14.83,,1483,1543037.1788,4.3694719215674753e-05,0,1040.4836
Delhi,13.24,,1483,1561412.142,4.369471921567476e-05,0,1052.874
